,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
2280,EIBAR,CELTA,0-0,0-0,2.0,5.1,6.2,50,50,6.0,1.0,8.0,1.0,3.0,38.0,55.0,41.0,14.0,16.0,3.0,1.0,0.0,3.0,3.0,6.0,0.0,3.0,38.0,57.0,26.0,28.0,13.0,4.0,0.0,0.0,0,0,0,0,2020
2281,GRANADA,ATHLETIC,2-0,0-0,3.5,6.7,5.6,40,60,2.0,2.0,4.0,0.0,1.0,22.0,69.0,22.0,28.0,8.0,3.0,0.0,0.0,7.0,2.0,9.0,0.0,2.0,31.0,77.0,25.0,11.0,10.0,4.0,0.0,0.0,2,0,0,2,2020
2282,CÁDIZ CF,OSASUNA,0-2,0-1,3.6,5.5,6.2,53,47,7.0,3.0,12.0,2.0,6.0,16.0,68.0,24.0,11.0,14.0,2.0,0.0,0.0,2.0,4.0,6.0,1.0,2.0,26.0,61.0,42.0,18.0,21.0,2.0,0.0,0.0,0,2,2,0,2020
2283,ALAVÉS,REAL BETIS,0-1,0-0,4.1,5.6,6.6,42,58,3.0,2.0,7.0,2.0,6.0,26.0,76.0,23.0,10.0,19.0,3.0,0.0,0.0,5.0,4.0,11.0,2.0,4.0,23.0,78.0,7.0,10.0,17.0,3.0,0.0,0.0,0,1,1,0,2020
2284,VALLADOLID,REAL SOCIEDAD,1-1,1-0,3.9,5.8,6.2,40,60,5.0,3.0,8.0,0.0,5.0,18.0,66.0,21.0,17.0,15.0,4.0,0.0,0.0,6.0,2.0,8.0,0.0,3.0,29.0,75.0,25.0,19.0,17.0,1.0,0.0,0.0,1,1,1,1,2020
2285,VILLARREAL,HUESCA,1-1,0-1,4.9,6.1,6.8,66,34,7.0,4.0,15.0,4.0,6.0,21.0,86.0,13.0,11.0,10.0,1.0,0.0,0.0,4.0,3.0,10.0,3.0,6.0,11.0,75.0,15.0,26.0,22.0,1.0,0.0,0.0,1,1,1,1,2020
2286,VALENCIA,LEVANTE,4-2,2-2,9.5,7.0,5.3,44,56,4.0,8.0,14.0,2.0,3.0,13.0,80.0,15.0,16.0,9.0,1.0,0.0,0.0,9.0,8.0,19.0,2.0,4.0,24.0,86.0,12.0,9.0,14.0,3.0,0.0,0.0,4,2,2,4,2020
2287,ATLETICO MADRID,SEVILLA FC,2-0,1-0,4.3,6.8,6.2,34,66,0.0,4.0,5.0,1.0,3.0,12.0,82.0,11.0,29.0,14.0,2.0,0.0,0.0,7.0,2.0,13.0,4.0,12.0,21.0,90.0,8.0,8.0,11.0,0.0,0.0,0.0,2,0,0,2,2020
2288,REAL MADRID,GETAFE,2-0,0-0,3.7,6.9,5.5,68,32,7.0,4.0,14.0,3.0,8.0,26.0,85.0,12.0,9.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,25.0,65.0,9.0,16.0,16.0,1.0,0.0,0.0,2,0,0,2,2020
2289,BARCELONA,ELCHE,3-0,0-0,4.4,7.6,5.4,65,35,1.0,5.0,9.0,3.0,6.0,12.0,91.0,9.0,6.0,8.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,3.0,11.0,84.0,5.0,17.0,8.0,0.0,0.0,0.0,3,0,0,3,2020
2290,VILLARREAL,EIBAR,2-1,0-0,5.6,6.7,5.6,58,42,6.0,8.0,14.0,0.0,4.0,24.0,78.0,22.0,20.0,5.0,1.0,0.0,0.0,6.0,4.0,12.0,2.0,3.0,19.0,71.0,17.0,13.0,12.0,1.0,0.0,0.0,2,1,1,2,2020
2291,GETAFE,OSASUNA,1-0,0-0,2.6,5.7,5.4,55,45,4.0,1.0,7.0,2.0,4.0,35.0,65.0,33.0,12.0,19.0,4.0,0.0,0.0,6.0,3.0,10.0,1.0,1.0,26.0,56.0,43.0,22.0,13.0,2.0,0.0,0.0,1,0,0,1,2020
2292,CELTA,VALENCIA,2-1,1-0,6.5,6.7,5.7,51,49,10.0,6.0,23.0,7.0,6.0,16.0,82.0,11.0,24.0,12.0,3.0,0.0,0.0,4.0,3.0,9.0,2.0,6.0,14.0,82.0,17.0,14.0,13.0,1.0,0.0,0.0,2,1,1,2,2020
2293,HUESCA,CÁDIZ CF,0-2,0-1,3.4,5.3,7.2,71,29,3.0,1.0,4.0,1.0,2.0,25.0,86.0,18.0,11.0,18.0,3.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,20.0,63.0,15.0,13.0,23.0,3.0,0.0,0.0,0,2,2,0,2020
