idDataDetail,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year,idLoad,idUser
32319,GRANADA,DEPORTIVO,2-1,0-1,4.6,7.0,5.0,53,47,6.0,3.0,10.0,1.0,5.0,25.0,79.0,20.0,21.0,13.0,1.0,0.0,0.0,1.0,1.0,8.0,6.0,3.0,30.0,76.0,10.0,14.0,26.0,3.0,0.0,0.0,2,1,1,2,2014,68,5
32331,ATLETICO MADRID,EIBAR,2-1,2-1,5.4,6.0,5.0,43,57,7.0,6.0,14.0,1.0,5.0,22.0,73.0,27.0,25.0,12.0,3.0,0.0,0.0,3.0,2.0,8.0,3.0,5.0,32.0,79.0,19.0,16.0,18.0,0.0,0.0,0.0,2,1,1,2,2014,68,5
32358,CELTA,DEPORTIVO,2-1,1-0,5.1,6.0,5.0,53,47,5.0,4.0,11.0,2.0,13.0,21.0,71.0,20.0,15.0,15.0,3.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,39.0,71.0,15.0,26.0,15.0,3.0,0.0,0.0,2,1,1,2,2014,68,5
32361,RAYO VALLECANO,ATHLETIC,2-1,1-1,5.6,7.0,5.0,50,50,8.0,5.0,15.0,2.0,1.0,41.0,70.0,22.0,15.0,18.0,2.0,0.0,0.0,4.0,3.0,8.0,1.0,2.0,38.0,65.0,27.0,15.0,17.0,2.0,0.0,0.0,2,1,1,2,2014,68,5
32381,MÁLAGA,GRANADA,2-1,0-1,6.2,6.0,5.0,55,45,8.0,3.0,17.0,6.0,3.0,25.0,80.0,13.0,23.0,12.0,1.0,0.0,1.0,2.0,5.0,8.0,1.0,3.0,25.0,73.0,13.0,27.0,15.0,4.0,0.0,0.0,2,1,1,2,2014,68,5
32405,SEVILLA FC,VILLARREAL,2-1,0-0,6.4,6.0,6.0,54,46,1.0,4.0,8.0,3.0,3.0,25.0,74.0,13.0,13.0,19.0,3.0,0.0,0.0,5.0,4.0,10.0,1.0,2.0,20.0,74.0,11.0,22.0,15.0,4.0,0.0,0.0,2,1,1,2,2014,68,5
32414,LEVANTE,ALMERÍA,2-1,1-0,5.8,6.0,5.0,42,58,3.0,5.0,11.0,3.0,3.0,24.0,71.0,24.0,23.0,17.0,3.0,0.0,0.0,4.0,5.0,14.0,5.0,6.0,22.0,79.0,16.0,13.0,17.0,2.0,0.0,0.0,2,1,1,2,2014,68,5
32415,ELCHE,ESPANYOL,2-1,1-0,7.4,6.0,5.0,39,61,4.0,4.0,10.0,2.0,4.0,21.0,72.0,17.0,37.0,19.0,4.0,2.0,0.0,4.0,5.0,15.0,6.0,10.0,24.0,78.0,17.0,14.0,10.0,2.0,0.0,0.0,2,1,1,2,2014,68,5
32421,MÁLAGA,EIBAR,2-1,0-1,6.3,7.0,4.0,56,44,6.0,8.0,15.0,1.0,5.0,28.0,77.0,14.0,16.0,9.0,3.0,0.0,0.0,2.0,3.0,7.0,2.0,3.0,22.0,67.0,14.0,12.0,15.0,3.0,1.0,0.0,2,1,1,2,2014,68,5
32426,REAL SOCIEDAD,ATLETICO MADRID,2-1,1-1,5.4,7.0,5.0,55,45,5.0,5.0,11.0,1.0,2.0,39.0,77.0,13.0,26.0,17.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,39.0,70.0,23.0,30.0,17.0,7.0,1.0,0.0,2,1,1,2,2014,68,5
32433,LEVANTE,VALENCIA,2-1,0-0,5.7,6.0,5.0,31,69,3.0,5.0,10.0,2.0,4.0,17.0,61.0,15.0,25.0,20.0,2.0,0.0,0.0,6.0,6.0,17.0,5.0,5.0,26.0,85.0,12.0,12.0,18.0,1.0,0.0,0.0,2,1,1,2,2014,68,5
32435,VILLARREAL,GETAFE,2-1,2-0,5.5,6.0,6.0,53,47,5.0,4.0,10.0,1.0,7.0,31.0,75.0,14.0,18.0,15.0,3.0,0.0,0.0,4.0,5.0,13.0,4.0,4.0,36.0,72.0,10.0,20.0,14.0,2.0,0.0,0.0,2,1,1,2,2014,68,5
32439,ESPANYOL,LEVANTE,2-1,2-1,5.3,6.0,5.0,57,43,3.0,4.0,10.0,3.0,5.0,40.0,63.0,24.0,35.0,21.0,2.0,0.0,0.0,8.0,3.0,16.0,5.0,6.0,39.0,52.0,33.0,31.0,10.0,3.0,0.0,0.0,2,1,1,2,2014,68,5
32462,ESPANYOL,GRANADA,2-1,1-0,6.5,6.0,5.0,43,57,7.0,4.0,12.0,1.0,2.0,28.0,67.0,19.0,20.0,13.0,2.0,0.0,0.0,1.0,6.0,7.0,0.0,3.0,26.0,77.0,31.0,37.0,19.0,5.0,1.0,0.0,2,1,1,2,2014,68,5
